,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"November 20, 2019",Worth it.,"Very warm, love it.",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:13:01.007045,2020-09-30 00:13:07.319017,T,Clothing & Accessories,B002G9UDYG,B002G9UDYG
1,1,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"October 9, 2019",Awesome product,A must have for older phones with depleted battery.,yes,0,5.0,https://www.amazon.ca/kilponen-Rechargeable-Charging-Protective-Case-Black/dp/B07QMLFJKK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:13:17.416507,2020-09-30 00:13:26.802597,T,Clothing & Accessories,B002G9UDYG,B07QMLFJKK
2,2,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"August 15, 2019",Satisfied customer,Awesome little charger!,yes,0,5.0,https://www.amazon.ca/INIU-Portable-External-Powerbank-Compatible/dp/B07G34JZG2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:13:34.916147,2020-09-30 00:13:41.303555,T,Clothing & Accessories,B002G9UDYG,B07G34JZG2
3,3,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"June 7, 2019",Good quLity,Good quality,yes,0,5.0,https://www.amazon.ca/Map-Ireland-1792-11x14-Unframed-Print/dp/B07H6Q3D86/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:13:48.410409,2020-09-30 00:13:56.838333,T,Clothing & Accessories,B002G9UDYG,B07H6Q3D86
4,4,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"June 7, 2019",It’s ok,"Do the job, not spring loaded. Had I had known that it was a manual open vs a squeeze open I wouldn’t have purchased it. But it is good quality and grips the fish well.",yes,0,3.0,https://www.amazon.ca/Rapala-RFFG6-Floating-Fish-Gripper/dp/B00YHZG43G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:14:05.940703,2020-09-30 00:14:12.309790,T,Clothing & Accessories,B002G9UDYG,B00YHZG43G
5,5,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"June 7, 2019",Worth it,"Great bang for your buck, seems good quality.",yes,One,5.0,https://www.amazon.ca/Hydration-Reservoir-Oumers-Portable-Adventure/dp/B07LBNVJCK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:14:22.410416,2020-09-30 00:14:31.815268,T,Clothing & Accessories,B002G9UDYG,B07LBNVJCK
6,6,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"June 7, 2019",Great for kayak,Much smaller than I thought despite seeing measurements. Literally smaller than thumbnail! But it Is very sharp and a perfect addition to my kayak.,yes,0,5.0,https://www.amazon.ca/Line-Cutterz-Mount-Fishing-Cutter/dp/B078G8P1Q8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:14:40.921450,2020-09-30 00:14:47.352868,T,Clothing & Accessories,B002G9UDYG,B078G8P1Q8
7,7,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"June 7, 2019",Overall satisfied,"Did the job, but air could get out it seemed. Used it for a bear bag, and no bears came around. So, that’s good! I couldn’t justify spending $50+ In other dry bags when this comes with three.",yes,One,3.0,https://www.amazon.ca/Outdoor-Products-3-Pack-Purpose-Assorted/dp/B079TKKCVP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:14:55.447446,2020-09-30 00:15:03.876390,T,Clothing & Accessories,B002G9UDYG,B079TKKCVP
8,8,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"April 21, 2019",Saved me lots of money.,"Bought this. Dealership was gonna charge me 257$ for the unpainted grill. Then charge me couple hundred to paint it, then couple hundred to put it on plus tax... I watched a YouTube video, and bought this. Came extremely quick, and I put it on with ease in less than 2hours.",yes,0,5.0,https://www.amazon.ca/Racingbees-2016-2018-HATCHBACK-TYPE-R-PAINTED/dp/B072N3W1VB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:15:11.004772,2020-09-30 00:15:20.429861,T,Clothing & Accessories,B002G9UDYG,B072N3W1VB
9,9,AG6R2DRM67OW5IUN6TQ3IT54HPJA,"April 21, 2019",Same as GoPro one.,Pretty much just a cheaper GoPro brand chest mount. Good purchase.,yes,0,5.0,https://www.amazon.ca/CamKix-Harness-compatible-Session-Silver/dp/B00PQ6B5SY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:15:30.547618,2020-09-30 00:15:36.988642,T,Clothing & Accessories,B002G9UDYG,B00PQ6B5SY
