,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"December 13, 2019",Its Carhartt!,Quality Carhartt as usual. Keeps you nice and warm,yes,0,5.0,https://www.amazon.ca/Carhartt-Mens-Acrylic-Knit-Black/dp/B003E7GUZU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:22:45.834132,2020-09-19 02:22:54.101628,Amazon Customer,Clothing & Accessories,B002G9UDYG,B003E7GUZU
1,1,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"December 13, 2019","Worth trying, very solid.","Nothing fancy, does the job well, the scent the combs gives is a little off",yes,0,3.0,https://www.amazon.ca/One-Handsome-Man-Ultimate-Beard/dp/B01BH4OWLK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:23:02.195119,2020-09-19 02:23:09.445389,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01BH4OWLK
2,2,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 18, 2019",Good,"Not bad but not great, you can get a headlamp for a few pennies more which I found to be way brighter.",yes,0,3.0,https://www.amazon.ca/H4-9003-Motorcycle-SEALIGHT-Replacement/dp/B07C6B94TF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:23:16.534738,2020-09-19 02:23:23.846331,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07C6B94TF
3,3,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 18, 2019",Perfect length,Went this route after purchasing a flex hose shower head. Should have done this first. Great extension and you can change the shower head to any of your liking.,yes,0,5.0,https://www.amazon.ca/Chrome-Plated-Adjustable-Extension-Shower/dp/B07SV648NW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:23:31.935543,2020-09-19 02:23:38.175553,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07SV648NW
4,4,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 18, 2019",Specific application,You need this if installing 7inch headlamp on a Harley Davidson Street glide,yes,0,3.0,https://www.amazon.ca/Headlight-Mounting-Bracket-Harley-Davidson/dp/B017B8NL2M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:23:47.270038,2020-09-19 02:23:55.527042,Amazon Customer,Clothing & Accessories,B002G9UDYG,B017B8NL2M
5,5,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 18, 2019",Plug and play,Easy breezy installation if you know how to install stereos. Works as expected.,yes,0,5.0,https://www.amazon.ca/SOOCR-26-Replacement-Interface-Chrysler-Vehicles/dp/B00CQD6W5G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:24:02.617964,2020-09-19 02:24:09.882157,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00CQD6W5G
6,6,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 18, 2019",Video,Works great and as expected,yes,0,4.0,https://www.amazon.ca/APPS2Car-Parking-Interface-Pioneer-Receivers/dp/B01L6Z1WYA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:24:19.978426,2020-09-19 02:24:28.227940,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01L6Z1WYA
7,7,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 18, 2019",Awsome shirt,"Awsome work shirt, fits a bit loose so you can move a round.",yes,0,5.0,https://www.amazon.ca/Carhartt-Signature-T-Shirt-Original-X-Large/dp/B007FPOWUC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:24:38.344002,2020-09-19 02:24:45.624085,Amazon Customer,Clothing & Accessories,B002G9UDYG,B007FPOWUC
8,8,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 17, 2019",Easy,Great for extending your input for stereo or files.,yes,0,5.0,https://www.amazon.ca/Duttek-USB-Panel-Flush-Mount/dp/B072HK8JZH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:24:52.718703,2020-09-19 02:24:59.019240,Amazon Customer,Clothing & Accessories,B002G9UDYG,B072HK8JZH
9,9,AGR557ZB5HIFTHTNUMTAFZVQ6PWA,"November 17, 2019",Perfect for pa,Great set if tools.,yes,0,5.0,https://www.amazon.ca/Marrywindix-Dashboard-Dismantle-Installer-Professional-grade/dp/B00SB7QAZ8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:25:06.111004,2020-09-19 02:25:12.373504,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00SB7QAZ8
