,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"June 8, 2020",Low volume,"Sound quality not great and volume not loud enough, only good thing is battery life.",yes,0,2.0,https://www.amazon.ca/AIKELA-Bluetooth-Headphones-Earphones-Waterproof/dp/B07X9Z5LZ7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:20:18.141195,2020-09-30 05:20:26.569025,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07X9Z5LZ7
1,1,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"May 26, 2020",as advertised no motion detection,good bright,yes,0,5.0,https://www.amazon.ca/UMUM-Deformable-Ceiling-Workshop-Adjustable/dp/B0836RBTQF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:20:33.687201,2020-09-30 05:20:43.104838,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0836RBTQF
2,2,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"May 16, 2020",don't work,Scam doesn't work,yes,0,1.0,https://www.amazon.ca/Adapter-Haokiang-Digital-Component-Converter/dp/B07XRPFN91/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:20:50.248247,2020-09-30 05:20:57.566437,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07XRPFN91
3,3,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"February 22, 2020",Ag,Very good for the price can't beat it,yes,0,5.0,https://www.amazon.ca/LeeMinHUI-15_Vince_Carter_Toronto_Raptors_Purple-Hardwood-Classics-Swingman/dp/B07PQCTJD6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:21:04.677869,2020-09-30 05:21:13.071777,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07PQCTJD6
4,4,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"December 10, 2019",Can't go wrong with Anker,As advertised. Anker is 👌,yes,0,5.0,https://www.amazon.ca/Portable-Charger-Anker-PowerCore-20100mAh/dp/B00X5RV14Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:21:23.180473,2020-09-30 05:21:30.562079,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00X5RV14Y
5,5,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"December 10, 2019",Can't go wrong,Awesome as advertised,yes,0,5.0,https://www.amazon.ca/Controller-Charger-Playstation-Charging-Station/dp/B075YBBQMM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:21:40.673855,2020-09-30 05:21:48.117112,Amazon Customer,Clothing & Accessories,B002G9UDYG,B075YBBQMM
6,6,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"December 10, 2019",Good protection,"Good screen protector, horrible install instructions.",yes,0,3.0,https://www.amazon.ca/Samsung-Galaxy-Watch-46mm-Ultra-Thin/dp/B07GJLMR9J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:21:57.217523,2020-09-30 05:22:04.547837,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07GJLMR9J
7,7,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"December 9, 2019",Waste of time,Item got lost while being shipped and didn't make it. Don't waste your time with this one,yes,0,1.0,https://www.amazon.ca/Mega-Gemstone-Mine-NATIONAL-GEOGRAPHIC/dp/B0160JBGRA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:22:13.655653,2020-09-30 05:22:20.031412,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0160JBGRA
8,8,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"December 5, 2019",Good quality,"Great toque,Very warm but a little bit long",yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:22:28.133974,2020-09-30 05:22:35.539697,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
9,9,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"June 30, 2019",Cheap frames,Lasted 3 days then frame broke for no apparent reason. Very cheaply made. Lense poor quality. Customer service is excellent they sent me a free pair with new frame so far so good,yes,0,3.0,https://www.amazon.ca/Wayfarer-Polarized-Sunglasses-Womens-Protection/dp/B075XNSXS7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:22:45.640858,2020-09-30 05:22:54.094075,Amazon Customer,Clothing & Accessories,B002G9UDYG,B075XNSXS7
10,10,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"April 15, 2019",Not accurate pedometer,On a 5k walk it's off 1.4kms approx 1000 steps. My Phone is more accurate of a pedometer.,yes,0,1.0,https://www.amazon.ca/Semaco-Waterproof-Activity-Wristband-Pedometer/dp/B07GSYV6Y1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:23:04.211353,2020-09-30 05:23:12.639602,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07GSYV6Y1
11,11,AGEI4MZTUVK75RIJD6HOGNHYYGBQ,"July 1, 2016",Four Stars,Does everything it's supposed to only negative the seat wiggles a bit when riding,yes,0,4.0,https://www.amazon.ca/Schwinn-100338-270-Recumbent-Bike/dp/B00D4LEEXQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:23:21.739698,2020-09-30 05:23:30.181635,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00D4LEEXQ
