,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"June 1, 2020",Great for working out.,"I bought 2 of these to work, outside in the summer and cover my tattoos. They re tough, yet light and breathable. great quality and price. I would buy again.",yes,0,4.0,https://www.amazon.ca/Hanes-Sleeve-T-Shirt-50-Plus-Large/dp/B00KBZSUWE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:45:58.249774,2020-09-18 11:46:07.518006,matthewnightz,Clothing & Accessories,B002G9UDYG,B00KBZSUWE
1,1,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"January 2, 2020",A++,Exactly as described. Great product for the price!,yes,0,5.0,https://www.amazon.ca/MoKo-Case-iPad-10-2-2019/dp/B07Z1MZ1NF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:46:16.603781,2020-09-18 11:46:24.952769,matthewnightz,Clothing & Accessories,B002G9UDYG,B07Z1MZ1NF
2,2,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"January 2, 2020",A++,Bought this as a gift for my uncle who owns a 1969 Mach 1 fastback. I read through the book before I gave it to him. Regardless if you own the car or are just a fan of the car this book is absolutely incredible. The amount of knowledge inside is crazy. I didn’t think there would be near that amount of information in this book. From the history to how to maintain and fix the car. Great photos and great information.,yes,0,5.0,https://www.amazon.ca/1969-Ford-Mustang-Mach-Muscle/dp/1613253184/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:46:32.053376,2020-09-18 11:46:38.344046,matthewnightz,Clothing & Accessories,B002G9UDYG,1613253184
3,3,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"January 2, 2020",A++,16$ for a toque that is super well made and durable. I have a bunch of different colours. Another thing I love is they are MADE in Canada. Where can you find something of this quality for that price that is made at home? Great job Carhartt!,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:46:47.444381,2020-09-18 11:46:54.741305,matthewnightz,Clothing & Accessories,B002G9UDYG,B002G9UDYG
4,4,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"January 2, 2020",A++,"25$ for 5 BLURAYS. Can’t go wrong with that! Quick delivery, great product.",yes,0,5.0,https://www.amazon.ca/Hard-Movie-Collection-Bilingual-Blu-ray/dp/B01NBKM0OV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:47:03.840245,2020-09-18 11:47:12.176475,matthewnightz,Clothing & Accessories,B002G9UDYG,B01NBKM0OV
5,5,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"January 2, 2020",A++,"Great product. Easy to use and make the apartment smell great. I love using this thing while I sleep. Put some lavender in there and you’ll sleep like a baby. I also love using it when I’m sick. I usually mix lavender and either peppermint or eucalyptus. Great product for the price, I’ve seen these identical models in store for more than double the price.",yes,0,5.0,https://www.amazon.ca/KBAYBO-Essential-Diffuser-Ultrasonic-Humidifier/dp/B072JPD1L5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:47:20.272774,2020-09-18 11:47:28.569424,matthewnightz,Clothing & Accessories,B002G9UDYG,B072JPD1L5
6,6,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"January 2, 2020",A++,I was shocked when I opened this keyboard. The build quality is outstanding. It’s a bit heavy but that’s ok because it’s built really well. The key strokes and keys are really nice and smooth as well. Took me 2 seconds to connect to my iPad. I would definitely highly recommend this product.,yes,0,5.0,https://www.amazon.ca/Logitech-Bluetooth-Multi-Device-Smartphones-920-006342/dp/B00MUTWLW4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:47:36.656640,2020-09-18 11:47:45.892095,matthewnightz,Clothing & Accessories,B002G9UDYG,B00MUTWLW4
7,7,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"September 6, 2019",A+++,Great product and a great price. Thank you!,yes,0,5.0,https://www.amazon.ca/Classic-Adjustable-Replacement-Smartwatch-Wristband/dp/B07K16P61S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:47:55.994729,2020-09-18 11:48:02.312294,matthewnightz,Clothing & Accessories,B002G9UDYG,B07K16P61S
8,8,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"June 26, 2019",Great product!,Light and quick. Love it. The pressure gauge has a little arrow that you can rotate like a clock to the desired PSI. Works well!,yes,0,5.0,https://www.amazon.ca/BV-Yellow-Automatically-Reversible-Schrader/dp/B0085OUN1O/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:48:10.395895,2020-09-18 11:48:19.649089,matthewnightz,Clothing & Accessories,B002G9UDYG,B0085OUN1O
9,9,AGWIVDRFXUF43RLYYKKD4RFRFWGQ,"June 26, 2019",Great product,Smaller than I thought but it works great! I struggle with anxiety as an adult so I thought this would be a great outlet and it is!,yes,0,5.0,https://www.amazon.ca/Etch-A-Sketch-Classic-Red/dp/B01N1ZVYDM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:48:26.742295,2020-09-18 11:48:35.010882,matthewnightz,Clothing & Accessories,B002G9UDYG,B01N1ZVYDM
